2019,2020,AREA,Goal 10
64,67,India,67
68,74,Andhra Pradesh,74
38,69,Arunachal Pradesh,69
67,65,Assam,65
74,48,Bihar,48
60,72,Chhattisgarh,72
19,75,Goa,75
59,64,Gujarat,64
54,68,Haryana,68
78,78,Himachal Pradesh,78
64,65,Jharkhand,65
70,67,Karnataka,67
75,69,Kerala,69
68,51,Madhya Pradesh,51
70,71,Maharashtra,71
81,70,Manipur,70
76,88,Meghalaya,88
66,64,Mizoram,64
61,46,Nagaland,46
69,66,Odisha,66
50,68,Punjab,68
70,45,Rajasthan,45
64,61,Sikkim,61
65,74,Tamil Nadu,74
94,67,Telangana,67
45,85,Tripura,85
46,41,Uttar Pradesh,41
59,77,Uttarakhand,77
73,71,West Bengal,71
